Vertice,Descoberto,Finalizado
0,1,200
1,5,196
2,6,195
3,2,199
4,4,197
5,8,193
6,9,192
7,11,190
8,3,198
9,7,194
10,17,184
11,14,187
12,18,183
13,10,191
14,12,189
15,13,188
16,20,181
17,16,185
18,19,182
19,21,180
20,15,186
21,25,176
22,32,169
23,22,179
24,23,178
25,24,177
26,26,175
27,31,170
28,27,174
29,28,173
30,30,171
31,34,167
32,29,172
33,35,166
34,36,165
35,33,168
36,42,159
37,39,162
38,37,164
39,38,163
40,41,160
41,43,158
42,49,152
43,47,154
44,40,161
45,44,157
46,46,155
47,51,150
48,50,151
49,45,156
50,48,153
51,56,145
52,52,149
53,68,133
54,58,143
55,61,140
56,53,148
57,54,147
58,57,144
59,64,137
60,59,142
61,62,139
62,63,138
63,72,129
64,60,141
65,65,136
66,66,135
67,67,134
68,70,131
69,55,146
70,74,127
71,69,132
72,75,126
73,78,123
74,73,128
75,82,119
76,76,125
77,71,130
78,83,118
79,81,120
80,79,122
81,77,124
82,80,121
83,84,117
84,85,116
85,86,115
86,87,114
87,89,112
88,94,107
89,90,111
90,91,110
91,93,108
92,92,109
93,97,104
94,88,113
95,96,105
96,98,101
97,102,103
98,95,106
99,99,100
